_id,season,player,pos,age,experience,tm,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game
66642cfab27c93a6817a06d5,2010,Rajon Rondo,PG,23,4,BOS,4.4,9.8,2.3,0.1,13.7
66642cfab27c93a6817a06d6,2010,Ramon Sessions,PG,23,3,MIN,2.6,3.1,0.7,0.1,8.2
66642cfab27c93a6817a06d7,2010,Randolph Morris,PF,24,4,ATL,1.4,0.1,0.2,0.1,2.2
66642cfab27c93a6817a06d8,2010,Randy Foye,PG,26,4,WAS,1.9,3.3,0.5,0.1,10.1
66642cfab27c93a6817a06d9,2010,Rashard Lewis,PF,30,12,ORL,4.4,1.5,1.1,0.4,14.1
66642cfab27c93a6817a06da,2010,Rasheed Wallace,C,35,15,BOS,4.1,1,1,0.9,9
66642cfab27c93a6817a06db,2010,Rasho Nesterović,C,33,12,TOR,2.1,0.6,0.2,0.4,3.9
66642cfab27c93a6817a06dc,2010,Rasual Butler,SF,30,8,LAC,2.9,1.4,0.4,0.8,11.9
66642cfab27c93a6817a06dd,2010,Ray Allen,SG,34,14,BOS,3.2,2.6,0.8,0.3,16.3
66642cfab27c93a6817a06de,2010,Raymond Felton,PG,25,5,CHA,3.6,5.6,1.5,0.3,12.1
66642cfab27c93a6817a06df,2010,Reggie Evans,PF,29,8,TOR,3.8,0.3,0.5,0.1,3.4
66642cfab27c93a6817a06e0,2010,Reggie Williams,SF,23,1,GSW,4.6,2.8,1,0.3,15.2
66642cfab27c93a6817a06e1,2010,Renaldo Balkman,SF,25,4,DEN,1.8,0.5,0.6,0.2,1.1
66642cfab27c93a6817a06e2,2010,Richard Hamilton,SG,31,11,DET,2.7,4.4,0.7,0.1,18.1
66642cfab27c93a6817a06e3,2010,Richard Jefferson,SF,29,9,SAS,4.4,2,0.6,0.5,12.3
66642cfab27c93a6817a06e4,2010,Ricky Davis,SF,30,12,LAC,1.6,1.1,0.3,0.1,4.4
66642cfab27c93a6817a06e5,2010,Robin Lopez,C,21,2,PHO,4.9,0.1,0.2,1,8.4
66642cfab27c93a6817a06e6,2010,Rodney Carney,SG,25,4,PHI,2,0.5,0.4,0.3,4.7
66642cfab27c93a6817a06e7,2010,Rodney Stuckey,PG,23,3,DET,3.8,4.8,1.4,0.2,16.6
66642cfab27c93a6817a06e8,2010,Rodrigue Beaubois,PG,21,1,DAL,1.4,1.3,0.5,0.2,7.1
66642cfab27c93a6817a06e9,2010,Roger Mason,SG,29,6,SAS,2.1,1.7,0.4,0.2,6.3
